,Day,Hour,Woke up,3 minutes toothpaste rinse,Combed hair,Steamed and Washed Face,Eaten meal,Whole body soap wash five minutes in shower,Drank a cup of coffee with raw sugar,What meal?,Handwashed clothes in grated coal tar soap,Set clothes in the sun to dry,Collected sun-dried and pressed clothes
0,1,7 p.m.,1,0,1,0,1,0,1,Chocolate Biscuits,0,0,0
1,1,7:45 p.m.,0,1,1,0,0,1,0,,0,0,0
2,1,9:15 p.m.,0,0,1,0,1,0,1,Diced Peaches in tub,0,0,0
3,1,11:30 p.m.,0,0,0,0,1,0,0,Soy Sauce and Fried Rice with Mushrooms and Chicken,0,0,0
4,2,1 a.m.,0,0,1,1,0,0,1,,0,0,0
5,2,5 a.m.,0,0,0,0,0,0,0,,0,0,0
6,2,7:40 a.m.,1,1,1,1,0,0,0,,0,0,0
7,2,8:20 a.m.,0,0,1,0,1,0,1,Instant Noodles (Chicken) and Toasted Cheese Sandwich on Sourdough Rye Bread,0,0,0
8,2,9:42 a.m,0,0,0,0,0,0,1,,1,0,0
9,2,11 a.m.,0,0,0,0,1,0,0,Diced Peaches in tub and Passionfruit Juice,0,1,1
10,2,5:21 p.m.,0,0,1,0,0,0,0,,0,0,0
11,2,5:41 p.m,0,0,0,1,0,0,1,,0,0,0
12,2,6:02 p.m.,0,0,1,0,0,1,0,,0,0,0
13,2,8:20 p.m.,0,0,1,0,1,0,0,Pork Spare Ribs and Rice,0,0,0
14,3,4:30 a.m.,0,0,0,0,0,0,0,,0,0,0
15,3,5:00 p.m,1,1,1,0,1,0,0,Diced Peaches in Tub and Passionfruit Juice,0,0,0
16,3,5:30 p.m.,0,0,1,0,0,1,1,,0,0,0
17,3,6:00 p.m.,0,0,1,0,1,0,1,Two 28g bags of potato chips,0,0,0
18,3,7:17 p.m,0,0,0,0,1,0,0,Cup of Earl Grey and Glass of Water,0,0,0
19,3,9:21 p.m.,0,0,1,1,0,0,1,,0,0,0
20,3,10:15 p.m.,0,0,1,1,0,0,0,,0,0,0
